"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gpr84",1.76314728920879e-129,0.914425858592731,0.734,0.37,2.51565855224311e-125
"Ehd1",6.50023754678995e-120,0.756323213307087,0.797,0.458,9.2745389317599e-116
"Nfkbia",2.32460626948466e-114,0.802390419624307,0.918,0.736,3.31674822530071e-110
"Rps3a1",1.54660128053653e-109,0.403399317381418,1,1,2.20669070706952e-105
"Sod2",8.91698887004837e-107,0.699572087958032,0.968,0.895,1.2722759719785e-102
"Ctsd",9.98772020172009e-95,-0.428736128626844,1,1,1.42504791838142e-90
"Traf1",9.90449060953475e-91,0.554365807039997,0.437,0.128,1.41317272016842e-86
"Clec4e",4.07408536199406e-90,1.01704362353924,0.726,0.467,5.81290499449312e-86
"Nrp1",4.89441384990822e-90,-0.664129799028158,0.414,0.716,6.98334968104905e-86
"Apoe",1.9918945660536e-89,-1.07821849092202,0.987,0.998,2.84203516684528e-85
"Tmsb4x",1.03080480957943e-88,-0.287166078017,1,1,1.47075230230794e-84
"Ccl9",1.5725796978953e-86,0.707120456167464,0.989,0.965,2.24375671295702e-82
"Tnfaip2",1.16997398016473e-79,0.784257582267794,0.65,0.364,1.66931887489904e-75
"C1qb",5.08582291039283e-77,-0.497415565150032,0.994,1,7.25645212854849e-73
"C1qc",5.25800044087052e-74,-0.497614739552724,0.984,0.997,7.50211502903405e-70
"Ly86",2.98270403093387e-72,-0.622063158470977,0.418,0.687,4.25572211133644e-68
"Igsf6",9.68205632140406e-72,0.587563521981495,0.682,0.408,1.38143579593793e-67
"Ninj1",4.97096866405069e-70,0.58556631722064,0.866,0.712,7.09257808986753e-66
"Acod1",6.22467832303142e-69,0.823734111939378,0.59,0.327,8.88137103130123e-65
"Cebpb",9.73381065444897e-68,0.621131555706386,0.863,0.716,1.38882010417678e-63
"Nrp2",2.93367960180463e-67,0.503477707015398,0.943,0.875,4.18577405585484e-63
"Cav1",5.96728782068981e-67,0.521585240339409,0.387,0.131,8.51412626256022e-63
"Mmp14",8.47247897769654e-62,0.552879503285569,0.311,0.09,1.20885330053774e-57
"Fos",3.87200547071997e-60,0.65832531405737,0.789,0.598,5.52457740562326e-56
"Acsl1",1.25194514577812e-59,0.567528128242039,0.524,0.269,1.78627533399622e-55
"Trem2",1.89459480789619e-59,-0.351970974761466,1,0.999,2.70320787190628e-55
"Slc4a7",2.1541466494572e-59,0.513870738756589,0.546,0.286,3.07353643944553e-55
"Icam1",4.62080029503392e-59,0.502018191158962,0.543,0.289,6.5929578609544e-55
"Vasp",5.10215312994311e-59,0.484802015177238,0.72,0.486,7.27975208580283e-55
"Sdc1",1.52294167974384e-54,0.528357360922926,0.403,0.169,2.17293318865851e-50
"Rgs2",3.86292207670779e-54,-0.531774950177966,0.68,0.851,5.51161721904667e-50
"Tlr2",2.29083050336606e-53,0.487877122770814,0.6,0.343,3.2685569622027e-49
"Sdc4",6.48739231876895e-53,0.522442611312045,0.842,0.695,9.25621136041953e-49
"Fcgr1",2.90193237246514e-52,-0.416437315831939,0.922,0.979,4.14047710903326e-48
"C3ar1",1.44383966014447e-51,-0.401815494185923,0.959,0.988,2.06007042709413e-47
"Cxcl10",2.09113525753422e-51,1.10618051483436,0.934,0.88,2.98363178544982e-47
"Folr2",4.42925293800151e-51,-0.771549643913684,0.487,0.675,6.31965809194056e-47
"Itm2b",7.11846878804073e-51,-0.32919745771539,0.999,0.999,1.01566312667765e-46
"Ctla2b",1.66907699219662e-50,-0.497143137061993,0.673,0.831,2.38143905246614e-46
"Maf",2.36890552602988e-50,-0.558540492939347,0.563,0.744,3.37995440453943e-46
"Pcna",4.59094055613954e-50,-0.471845246492191,0.861,0.941,6.55035398549989e-46
"Arhgdib",2.183208329056e-48,0.31214351805267,0.999,0.995,3.1150016438971e-44
"Wwp1",8.68254630050024e-48,-0.491050339774218,0.392,0.619,1.23882570615537e-43
"Abhd12",1.14996373047122e-47,-0.427355686263571,0.734,0.857,1.64076825063633e-43
"Ptpra",1.66333236782904e-47,-0.406696371296673,0.746,0.866,2.37324262241848e-43
"Marcksl1",3.96744857170916e-47,0.506759966551689,0.621,0.396,5.66075562211463e-43
"Basp1",3.1559173112292e-45,-0.365970727121288,0.975,0.994,4.50286281966182e-41
"Itga6",3.50467834450272e-45,-0.448317293834267,0.649,0.803,5.00047506193648e-41
"Rap2a",4.19365975923437e-45,-0.437799983272729,0.49,0.692,5.9835137444756e-41
"Npy",4.73649940296156e-45,0.48680440750283,0.938,0.869,6.75803734814555e-41
"Plec",4.80861032458788e-45,0.446361444153856,0.943,0.883,6.86092521112198e-41
"Grn",8.68725769583012e-45,-0.270060916287324,0.999,1,1.23949792804104e-40
"Nfkbie",1.73454493868101e-44,0.296022436162893,0.3,0.105,2.47484871851006e-40
"Vim",2.48732920129458e-43,0.350554690499935,0.999,0.999,3.54892130440711e-39
"Cd180",1.16708760407225e-41,-0.41232667291977,0.614,0.773,1.66520059349029e-37
"Tnip1",1.28344302563328e-41,0.375558434894349,0.496,0.276,1.83121650897356e-37
"Psap",3.39560497545571e-41,-0.288000086961307,0.999,0.999,4.84484917898021e-37
"Nr1h3",4.89634738389189e-41,0.468609598981532,0.456,0.248,6.98610844733694e-37
"Esd",4.44873107780428e-40,0.334216134433851,0.999,0.998,6.34744950181114e-36
"Tagln2",1.61104382675807e-39,0.325295982922283,0.992,0.974,2.29863733201841e-35
"Junb",1.82492218652633e-39,0.435346276294381,0.756,0.57,2.60379897573577e-35
"Jdp2",3.7219119544968e-39,0.29810805137581,0.212,0.059,5.31042397667603e-35
"Clec4d",5.02999943108297e-39,0.321070736345463,0.987,0.984,7.17680318826918e-35
"S100a10",5.47098454939836e-39,0.357487361498334,0.993,0.982,7.80600075508157e-35
"Mef2a",5.59300727309889e-39,-0.411031887154834,0.599,0.759,7.9801027772575e-35
"Pfn1",9.09328282658849e-39,0.258648771525895,1,1,1.29742959369765e-34
"Cd82",9.92969352369404e-39,0.327370513498639,0.384,0.185,1.41676867196066e-34
"Clec5a",2.51639875191318e-38,0.353270724020391,0.469,0.259,3.59039773922973e-34
"Lyz2",3.44905317065583e-38,0.384112350386068,1,1,4.92110906389174e-34
"Rgs10",4.32488801960083e-38,-0.352157388264955,0.851,0.926,6.17075022636647e-34
"Slc6a6",5.83811348944771e-38,-0.33965497305018,0.89,0.948,8.32982032674399e-34
"Nadk",3.70305841340676e-37,0.366651910463098,0.636,0.431,5.28352374424877e-33
"Sirpa",3.80838012587129e-36,-0.348548758846945,0.887,0.959,5.43379676359316e-32
"Gsap",1.68019038086791e-34,0.318398734596019,0.421,0.228,2.39729563542233e-30
"C1qa",2.48156821801923e-34,-0.498423500512348,0.842,0.919,3.54070153346983e-30
"Mif",7.50065723417299e-34,0.301905234236234,0.992,0.989,1.0701937741718e-29
"C3",1.59810224298961e-33,0.372428865148022,0.345,0.167,2.28017228029758e-29
"Rnf19b",1.96616588765824e-33,0.351759425640341,0.521,0.324,2.80532548851078e-29
"Cd36",2.03141275060465e-33,-0.407206548759978,0.522,0.674,2.89841971256272e-29
