Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NCOR 22465074 ChIP-Seq MACROPHAGES Mouse	39/2000	1.3915835816849603E-14	8.293838146842363E-12	0	0	5.848646976701415	186.6054620530384	IFITM3;FAM49B;CD40;SLFN1;LST1;TNFAIP2;FPR2;PTGS2;PSMB10;LIMD2;PLAC8;PRDX5;CCND2;RAP1A;SYNGR2;SOCS1;CCRL2;TRA2A;TSPO;UPP1;RPS27A;OASL2;UBE2F;IL15RA;GBP5;CD52;JUN;IRGM1;ISG15;IFI47;SERPINA3G;PARP14;SOD2;SNX20;ATOX1;GPR141;IRF7;NFE2L2;TLR2
RELA 24523406 ChIP-Seq FIBROSARCOMA Human	22/1182	6.762152009371346E-8	2.0151212987926613E-5	0	0	4.55658709106985	75.22624352107916	GSDMD;IL15RA;IL1RN;JUN;CD40;CDKN1A;TNFAIP2;PTGS2;SOD2;ASS1;ATOX1;CCND2;SYNGR2;PSME1;IRF7;PSME2;UPP1;RPS27A;CFB;NFE2L2;TLR2;HSPA1A
IRF8 22096565 ChIP-ChIP GC-B Mouse	17/772	2.6017845748216933E-7	5.1688786886457636E-5	0	0	5.193728556610548	78.74678296012407	ZBP1;RTP4;GBP5;CD52;CD40;IFIT1;PARP14;PSMB10;ASS1;ATOX1;ATP5L;SOCS1;CCRL2;IGTP;IRF7;PSME2;OASL2
MECOM 23826213 ChIP-Seq KASUMI Mouse	25/1951	7.988053306475896E-6	0.0011902199426649085	0	0	3.110764970578055	36.51280127965492	IFITM3;FAM49B;CDKN1A;GMFG;TNFAIP2;PLAC8;RBM3;RAP1A;SOCS1;CCRL2;TRA2A;TSPO;UPP1;UBE2F;CD52;RBM39;JUN;SERPINA3G;ASS1;VAMP8;IRF7;HCLS1;NUPR1;CLEC4E;TLR2
IRF8 27001747 Chip-Seq BMDM Mouse	25/2000	1.2299394614264605E-5	0.0014660878380203409	0	0	3.0253164556962027	34.20410839393371	IFITM3;LY6C2;FAM49B;IL1RN;CD40;FPR2;CFP;SAMHD1;MS4A4C;PSMB10;CCND2;RAP1A;CCRL2;CCDC50;OASL2;CCR2;CD52;BATF2;SEMA4A;IRGM1;ISG15;IFI47;PARP14;GPR141;IGTP
SMRT 22465074 ChIP-Seq MACROPHAGES Mouse	24/2000	3.7587620535492996E-5	0.0037337036398589706	0	0	2.8644790112934158	29.185706306800157	UBE2F;RTP4;FAM49B;CD52;SEMA4A;IL1RN;JUN;CD40;CDKN1A;GMFG;LST1;IRGM1;ISG15;PTGS2;ATOX1;LIMD2;MS4A6C;PLAC8;VAMP8;DNAJA1;RAP1A;SOCS1;PSME2;OASL2
BRD4 27068464 Chip-Seq AML-cells Mouse	23/2000	1.090490132730848E-4	0.009284744558679791	0	0	2.7079531495312983	24.706587661792394	UBE2F;FAM49B;IL15RA;JUN;CDKN1A;MARCKSL1;SLFN1;GMFG;IRGM1;CACYBP;COX5B;PTGS2;SNX20;PSMB10;LIMD2;GPR141;RAP1A;IRF7;TSPO;UPP1;RPS27A;CCR2;TLR2
STAT4 19710469 ChIP-ChIP TH1  Mouse	22/1939	1.933536101697248E-4	0.014404843957644499	0	0	2.6458676083089228	22.624787111785885	IFITM3;ZBP1;GBP5;CD52;SEMA4A;JUN;LY6I;SLFN1;GMFG;IFI47;SAMHD1;IIGP1;MS4A6C;PLAC8;RBM3;DNAJB1;CCND2;SOCS1;IGTP;PSME1;IRF7;PSME2
RUNX1 22412390 ChIP-Seq EML Mouse	22/2000	2.999872082715353E-4	0.01625385237543955	0	0	2.5555728396982187	20.73022094235539	UBE2F;VASP;FAM49B;HSPA8;RBM39;GMFG;LST1;ISG15;CFP;SAMHD1;LIMD2;VAMP8;GPR141;CCND2;SOCS1;CCRL2;IRF7;TSPO;NUPR1;CLEC4E;CFB;CCR2
SMC1 22415368 ChIP-Seq MEFs Mouse	22/2000	2.999872082715353E-4	0.01625385237543955	0	0	2.5555728396982187	20.73022094235539	ZBP1;UBE2F;GBP5;JUN;CDKN1A;CEBPB;IFITM2;COX17;IRGM1;IFI47;CACYBP;MAGOHB;SOD2;UQCRH;ASS1;LIMD2;CCND2;SOCS1;IRF7;RPL24;HSPA1B;TLR2
MAF 26560356 Chip-Seq TH1 Human	22/2000	2.999872082715353E-4	0.01625385237543955	0	0	2.5555728396982187	20.73022094235539	IFITM3;UBE2F;IL15RA;GBP5;HSPA8;CD52;JUN;CEBPB;MARCKSL1;IFITM2;SEMA4D;ISG15;SAMHD1;UQCRH;ATP5L;LIMD2;DNAJB1;CCND2;RAP1A;SOCS1;IRF7;HSPA1A
IRF1 21803131 ChIP-Seq MONOCYTES Human	8/345	3.391329364700043E-4	0.016843602511343547	0	0	5.047864791639788	40.327989409220486	ZBP1;GSDMD;SOCS1;PSME1;PSME2;ISG15;IFIT1;PARP14
IRF8 21731497 ChIP-ChIP J774 Mouse	7/319	0.0011091307043206472	0.050849376905777365	0	0	4.725530741659774	32.15335571187935	RTP4;MARCKSL1;SOCS1;PSME2;PARP14;PSMB10;OASL2
