Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
IRF1 ENCODE	9/263	6.875927872188537E-6	6.119575806247798E-4	0	0	7.64964956303539	90.93508648242974	DNAJA1;JUN;SOCS1;CCRL2;PSME1;PSME2;ISG15;PARP14;PSMB10
ZKSCAN1 ENCODE	5/120	3.417770167199186E-4	0.010534927243674524	0	0	9.05491990846682	72.27050340596548	UBE2F;FAM49B;PSME1;ASS1;NFE2L2
IRF8 CHEA	5/121	3.551099070901525E-4	0.010534927243674524	0	0	8.976406533575318	71.3003441034697	RTP4;SOCS1;PSME2;PARP14;PSMB10
RELA ENCODE	9/484	7.167181650973675E-4	0.015946979173416427	0	0	4.044534412955466	29.285777497761718	VASP;JUN;CD40;SYNGR2;RPS27A;HNRNPA1;TMA16;NFE2L2;LIMD2
STAT3 ENCODE	10/725	0.003385083044411088	0.054787976226830806	0	0	2.9813519813519815	16.95905356218721	UBE2F;DNAJB1;PRDX5;JUN;SARNP;RPL24;PARP14;RPS27A;SOD2;NFE2L2
CEBPD ENCODE	10/734	0.0036935714310223013	0.054787976226830806	0	0	2.9429097605893184	16.48371261804437	UBE2F;RBM39;JUN;CEBPB;MARCKSL1;RSRP1;RPL24;UQCRH;TMA16;NFE2L2
RUNX1 CHEA	14/1294	0.00499039162065954	0.06344926489124271	0	0	2.368095930232558	12.5514788837126	ZBP1;UBE2F;VASP;HSPA8;SEMA4D;GMFG;SAMHD1;SOD2;LIMD2;VAMP8;DNAJB1;UPP1;NFE2L2;CCR2
CEBPB ENCODE	4/144	0.005925472789293978	0.0659208847808955	0	0	5.880952380952381	30.160433701721548	UBE2F;RBM39;CEBPB;NFE2L2
CHD1 ENCODE	8/655	0.01690322110039035	0.16715407532608234	0	0	2.587594919696257	10.55803695937504	RBM3;HSPA8;JUN;CCND2;SOD2;UQCRH;TMA16;NFE2L2
EGR1 CHEA	5/315	0.021001220381095254	0.1741463170167126	0	0	3.32597623089983	12.848827326335238	JUN;IFITM2;CFB;PSMB10;HSPA1A
TP63 CHEA	13/1399	0.02199890459897161	0.1741463170167126	0	0	1.9960027201406512	7.618268567298411	UBE2F;FAM49B;CD52;RBM39;IL1RN;CD40;CDKN1A;PTGS2;ASS1;SYNGR2;SOCS1;HCLS1;UPP1
ATF2 ENCODE	22/2852	0.023480402294388216	0.1741463170167126	0	0	1.701277521065507	6.382494290320333	VASP;HSPA8;RBM39;JUN;MARCKSL1;NDUFA11;NDUFC2;CACYBP;MAGOHB;TMA16;PSMB10;ATP5L;RBM3;PRDX5;CCND2;SARNP;TRA2A;IRF7;RPL24;RPS27A;HNRNPA1;NFE2L2
NELFE ENCODE	4/234	0.029959444554749415	0.2051069665671306	0	0	3.5634057971014492	12.500109181793437	HSPA8;MARCKSL1;SOCS1;HNRNPA1
MYC ENCODE	13/1515	0.03857524166621787	0.24522832202095643	0	0	1.8303105437960114	5.957925512084828	HSPA8;CEBPB;NDUFA11;CACYBP;UQCRH;TMA16;PSMB10;RBM3;DNAJA1;RPL24;RPS27A;HNRNPA1;NFE2L2
PML ENCODE	13/1596	0.054530575738776066	0.323548082716738	0	0	1.729010100129973	5.0296795090853905	HSPA8;JUN;MARCKSL1;NDUFC2;COX5B;TMA16;RBM3;DNAJA1;DNAJB1;TRA2A;RSRP1;RPL24;NFE2L2
SRF ENCODE	4/299	0.06312630046068021	0.3511400463125337	0	0	2.7690677966101696	7.649875957300107	BATF2;RPL24;ABRACL;MAGOHB
MYC CHEA	6/573	0.06758822807199355	0.35384425284749565	0	0	2.1764043678937295	5.863932976739109	RBM3;HSPA8;CACYBP;FAU;RPS27A;HNRNPA1
SPI1 ENCODE	12/1540	0.08251537672116965	0.407829872740539	0	0	1.6395763921941933	4.090367010048552	GSDMD;VAMP8;HSPA8;CD52;SARNP;IRF7;HCLS1;ABRACL;FAU;CFP;TMA16;NFE2L2
ZMIZ1 ENCODE	8/914	0.08706480429292406	0.407829872740539	0	0	1.823015644495633	4.45016815793895	RBM3;VAMP8;DNAJA1;PRDX5;CEBPB;MARCKSL1;CCND2;RPS27A
TAF7 ENCODE	6/640	0.10153265191967176	0.45182030104253934	0	0	1.939660379891268	4.436730348087647	HSPA8;RBM39;JUN;TRA2A;HNRNPA1;TMA16
ZC3H11A ENCODE	2/129	0.13623023037232268	0.5233777220731177	0	0	3.177406395629118	6.333870360024791	SOCS1;COX17
ZBTB33 ENCODE	6/702	0.13963376512358566	0.5233777220731177	0	0	1.7611885546588408	3.4673087012858153	RBM39;NDUFA11;TRA2A;RPL24;CACYBP;MAGOHB
RFX5 ENCODE	5/559	0.14838335787102197	0.5233777220731177	0	0	1.8379251377541326	3.5066804747301514	DNAJB1;CEBPB;CCND2;TSPO;HNRNPA1
TAF1 ENCODE	21/3346	0.15547530181038283	0.5233777220731177	0	0	1.3251165889407062	2.4663976210924807	HSPA8;RBM39;JUN;MARCKSL1;NDUFC2;CACYBP;COX5B;UQCRH;TMA16;ATOX1;RBM3;DNAJA1;PRDX5;SOCS1;SARNP;TRA2A;RSRP1;RPL24;FAU;RPS27A;HNRNPA1
BCL3 ENCODE	3/273	0.15667300771801082	0.5233777220731177	0	0	2.2485681557846506	4.167933339263407	FAM49B;IRF7;PSMB10
SPI1 CHEA	8/1056	0.15821828156368023	0.5233777220731177	0	0	1.5642217059409227	2.8840801815751433	VASP;CEBPB;GMFG;LST1;HCLS1;ABRACL;CFP;RPS27A
ZNF384 ENCODE	6/730	0.15877751119072112	0.5233777220731177	0	0	1.6906077348066297	3.1111431787829007	UBE2F;FAM49B;CD52;CCND2;RPL24;PARP14
HNF4A ENCODE	9/1276	0.18759429256812066	0.5862208473456492	0	0	1.4544784339575183	2.4340313574054404	GSDMD;CEBPB;SYNGR2;SOCS1;COX17;PSME2;SAMHD1;SOD2;NFE2L2
UBTF ENCODE	11/1631	0.1910157817193688	0.5862208473456492	0	0	1.3946455819114996	2.3086952189966476	VASP;GSDMD;VAMP8;CEBPB;MARCKSL1;CCND2;SYNGR2;UQCRH;CCDC50;TMA16;NFE2L2
MYOD1 ENCODE	2/166	0.20160639493567864	0.5980989716425134	0	0	2.4559482329517173	3.9330488812382813	UBE2F;ABRACL
HDAC2 ENCODE	2/175	0.21805587925872275	0.6087539649020588	0	0	2.327120443553144	3.5442135628801488	NDUFC2;NFE2L2
KLF4 CHEA	7/987	0.22399825050301622	0.6087539649020588	0	0	1.4531490015360984	2.1740809790963778	VASP;DNAJB1;CDKN1A;IFITM2;TSPO;HNRNPA1;ASS1
FLI1 ENCODE	5/650	0.2257177622670555	0.6087539649020588	0	0	1.5711954304365565	2.3386771047291197	PRDX5;COX17;CACYBP;COX5B;UQCRH
MAX ENCODE	13/2073	0.2344168529273892	0.6136205856040482	0	0	1.2940520031246512	1.8772221360257373	UBE2F;FAM49B;CEBPB;NDUFA11;CACYBP;MAGOHB;TMA16;PSMB10;RBM3;SOCS1;RPS27A;HNRNPA1;NFE2L2
TCF3 ENCODE	6/840	0.24364554106768171	0.6195558044292477	0	0	1.4592071024031839	2.060459979453363	VASP;GSDMD;DNAJB1;PRDX5;CEBPB;SOCS1
E2F1 CHEA	6/859	0.25956084572300225	0.6416920908152001	0	0	1.4252824823526478	1.9223698886538936	RBM39;CDKN1A;COX17;CACYBP;ATP5L;NFE2L2
EGR1 ENCODE	4/537	0.2814461309687184	0.6622461652211685	0	0	1.5139931207004378	1.9194619982416417	DNAJA1;HSPA8;RBM39;COX5B
TRIM28 CHEA	2/210	0.2827567896449933	0.6622461652211685	0	0	1.9321036106750393	2.4405717461767877	JUN;HSPA1A
CREB1 CHEA	9/1444	0.29565535094022455	0.6747006726584611	0	0	1.2726193666960217	1.5507641473600073	HSPA8;DNAJB1;RBM39;CDKN1A;CEBPB;TRA2A;RPL24;FAU;MAGOHB
TCF7L2 ENCODE	4/583	0.3333655936087966	0.6863525193547432	0	0	1.3904001151410479	1.527376095098545	PRDX5;NDUFA11;SAMHD1;NFE2L2
