Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cytokine-mediated signaling pathway (GO:0019221)	19/621	2.1550141102730006E-10	2.2649198298969236E-7	0	0	7.5194208605061315	167.36767299561163	IFITM3;IL15RA;HSPA8;IL1RN;CD40;CDKN1A;IFITM2;ISG15;IFIT1;PTGS2;SAMHD1;SOD2;PSMB10;SOCS1;PSME1;IRF7;PSME2;RPS27A;CCR2
defense response to symbiont (GO:0140546)	10/124	6.282497116146491E-10	3.301452234534981E-7	0	0	19.28460038986355	408.60372136784093	IFITM3;ZBP1;RTP4;CD40;IFITM2;IRF7;ISG15;IFIT1;SAMHD1;TLR2
defense response to virus (GO:0051607)	10/133	1.25201690239574E-9	4.3862325480597423E-7	0	0	17.865401987353206	366.2141224359433	IFITM3;ZBP1;RTP4;CD40;IFITM2;IRF7;ISG15;IFIT1;SAMHD1;TLR2
cellular response to cytokine stimulus (GO:0071345)	14/482	1.2288830488827985E-7	3.228890210939553E-5	0	0	6.7592923871993635	107.55379276726788	GBP5;HSPA8;IL1RN;CD40;CDKN1A;IFITM2;IFIT1;PTGS2;SOCS1;HCLS1;RPS27A;NFE2L2;CCR2;TLR2
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	7/87	2.660954743489302E-7	5.593326870814513E-5	0	0	18.647849462365592	282.31745105669546	DNAJB1;PSME1;PSME2;RPS27A;PSMB10;HSPA1A;NFE2L2
neutrophil degranulation (GO:0043312)	13/481	8.113472238472058E-7	9.111124202006683E-5	0	0	6.20434227330779	87.01323085080007	GSDMD;HSPA8;GMFG;NDUFC2;MCEMP1;FPR2;CFP;PLAC8;VAMP8;RAP1A;HSPA1B;TLR2;HSPA1A
cellular response to type I interferon (GO:0071357)	6/65	8.73710802743793E-7	9.111124202006683E-5	0	0	21.465200144248108	299.45062675658284	IFITM3;IFITM2;IRF7;ISG15;IFIT1;SAMHD1
type I interferon signaling pathway (GO:0060337)	6/65	8.73710802743793E-7	9.111124202006683E-5	0	0	21.465200144248108	299.45062675658284	IFITM3;IFITM2;IRF7;ISG15;IFIT1;SAMHD1
neutrophil activation involved in immune response (GO:0002283)	13/485	8.90109661814466E-7	9.111124202006683E-5	0	0	6.150496785505553	85.68823634917581	GSDMD;HSPA8;GMFG;NDUFC2;MCEMP1;FPR2;CFP;PLAC8;VAMP8;RAP1A;HSPA1B;TLR2;HSPA1A
positive regulation of cytokine production (GO:0001819)	11/335	9.279045192587729E-7	9.111124202006683E-5	0	0	7.467609932029408	103.72761852686983	ZBP1;GBP5;CD40;CEBPB;IRF7;ISG15;PTGS2;HSPA1B;CCR2;TLR2;HSPA1A
neutrophil mediated immunity (GO:0002446)	13/488	9.535905444536015E-7	9.111124202006683E-5	0	0	6.1107078039927405	84.71293450710823	GSDMD;HSPA8;GMFG;NDUFC2;MCEMP1;FPR2;CFP;PLAC8;VAMP8;RAP1A;HSPA1B;TLR2;HSPA1A
innate immune response (GO:0045087)	10/302	2.772134114667772E-6	2.4279274620965234E-4	0	0	7.461187214611872	95.47255396661124	IFITM3;CD40;IFITM2;IRF7;ISG15;IFIT1;CLEC4E;CFP;CFB;TLR2
response to unfolded protein (GO:0006986)	5/49	4.524523491583302E-6	3.6579032228108073E-4	0	0	23.751196172248804	292.28217953066644	DNAJA1;DNAJB1;HSPA8;HSPA1B;HSPA1A
