Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Interferon Gamma Response	23/200	3.4969239514698644E-25	1.1539849039850552E-23	0	0	33.28410008071025	1874.318994261028	IFITM3;ZBP1;RTP4;IL15RA;BATF2;CD40;CDKN1A;IFITM2;TNFAIP2;ISG15;IFIT1;PARP14;PTGS2;SAMHD1;SOD2;PSMB10;VAMP8;SOCS1;PSME1;IRF7;PSME2;UPP1;CFB
Interferon Alpha Response	10/97	5.4094087098121765E-11	8.925524371190091E-10	0	0	25.303959131545337	598.193089707919	IFITM3;RTP4;BATF2;IFITM2;CCRL2;PSME1;IRF7;PSME2;ISG15;PARP14
TNF-alpha Signaling via NF-kB	10/200	6.326649225449628E-8	6.959314147994591E-7	0	0	11.526315789473685	191.05917311433382	IL15RA;JUN;CDKN1A;CEBPB;CCRL2;TNFAIP2;PTGS2;SOD2;NFE2L2;TLR2
Allograft Rejection	9/200	7.246130877532363E-7	5.978057973964199E-6	0	0	10.205454231632242	144.28091546324455	CD40;CCND2;SOCS1;IRF7;HCLS1;CFP;PSMB10;CCR2;TLR2
Inflammatory Response	8/200	7.36601339161234E-6	4.861568838464144E-5	0	0	8.92572463768116	105.48987198054958	RTP4;IL15RA;CD40;CDKN1A;SEMA4D;CCRL2;IRF7;TLR2
Apoptosis	7/161	1.642919278525687E-5	9.036056031891278E-5	0	0	9.651026392961876	106.32005701894415	IFITM3;DNAJA1;JUN;CDKN1A;CCND2;TSPO;SOD2
p53 Pathway	7/200	6.570537771122418E-5	3.0975392349577113E-4	0	0	7.685609226140732	74.01495143325761	VAMP8;JUN;CDKN1A;CCND2;SOCS1;NUPR1;UPP1
IL-6/JAK/STAT3 Signaling	4/87	9.530771662039316E-4	0.003931443310591217	0	0	9.948293172690763	69.19848374830829	IL15RA;JUN;SOCS1;TLR2
Complement	5/200	0.0033238214487381523	0.012187345312039891	0	0	5.318488529014845	30.350700013257832	CEBPB;IRF7;CFB;ATOX1;HSPA1A
Pperoxisome	3/104	0.01534532329403267	0.04260140216466304	0	0	6.06277431866898	25.323871983150248	PRDX5;TSPO;SOD2
IL-2/STAT5 Signaling	4/199	0.017778331562796207	0.04260140216466304	0	0	4.210470085470085	16.967246630417783	IFITM3;CCND2;SYNGR2;SOCS1
Hypoxia	4/200	0.018073322130463105	0.04260140216466304	0	0	4.188775510204081	16.81088959163861	PLAC8;PRDX5;JUN;CDKN1A
mTORC1 Signaling	4/200	0.018073322130463105	0.04260140216466304	0	0	4.188775510204081	16.81088959163861	CDKN1A;CACYBP;NUPR1;CFP
Oxidative Phosphorylation	4/200	0.018073322130463105	0.04260140216466304	0	0	4.188775510204081	16.81088959163861	COX17;NDUFC2;COX5B;UQCRH
Reactive Oxygen Species Pathway	2/49	0.024991188433223118	0.05498061455309086	0	0	8.620495006513243	31.803005852102093	SOD2;ATOX1
UV Response Up	3/158	0.04488559150530949	0.09257653247970082	0	0	3.9398071167276356	12.227736804285344	DNAJA1;DNAJB1;SOD2
Xenobiotic Metabolism	3/200	0.0789086435328542	0.14466584647689937	0	0	3.0932544874143075	7.855209980826792	UPP1;CFB;PSMB10
KRAS Signaling Up	3/200	0.0789086435328542	0.14466584647689937	0	0	3.0932544874143075	7.855209980826792	CCND2;PTGS2;CFB
Unfolded Protein Response	2/113	0.10976205232938706	0.19063935404577753	0	0	3.6383526383526386	8.038723369904124	CEBPB;IFIT1
Angiogenesis	1/36	0.16523874056701404	0.271529229861776	0	0	5.733044733044733	10.321566994169176	CCND2
DNA Repair	2/150	0.17279132809385747	0.271529229861776	0	0	2.7236624379481524	4.7818540898178	COX17;HCLS1
Wnt-beta Catenin Signaling	1/42	0.1900176905858975	0.28502653587884624	0	0	4.892584380389258	8.124812043283224	CCND2
Myogenesis	2/200	0.2642273190435063	0.3791087621059004	0	0	2.0307153164296023	2.702771390555414	CDKN1A;SYNGR2
PI3K/AKT/mTOR  Signaling	1/105	0.41003527484740526	0.5637985029151822	0	0	1.9226884226884227	1.7140999679223647	CDKN1A
Bile Acid Metabolism	1/112	0.43048561638067023	0.5682410136224847	0	0	1.8008008008008007	1.5177894088208939	PRDX5
Coagulation	1/138	0.5004839181972011	0.6348838112697764	0	0	1.45712600457126	1.0085932042209516	CFB
Fatty Acid Metabolism	1/158	0.5484697017864213	0.6348838112697764	0	0	1.270218104613009	0.7629225123606185	PSME1
G2-M Checkpoint	1/200	0.6348838112697764	0.6348838112697764	0	0	1.0	0.454313271209604	HSPA8
Estrogen Response Late	1/200	0.6348838112697764	0.6348838112697764	0	0	1.0	0.454313271209604	ASS1
Apical Junction	1/200	0.6348838112697764	0.6348838112697764	0	0	1.0	0.454313271209604	VASP
E2F Targets	1/200	0.6348838112697764	0.6348838112697764	0	0	1.0	0.454313271209604	CDKN1A
Myc Targets V1	1/200	0.6348838112697764	0.6348838112697764	0	0	1.0	0.454313271209604	HNRNPA1
Epithelial Mesenchymal Transition	1/200	0.6348838112697764	0.6348838112697764	0	0	1.0	0.454313271209604	JUN
