gene,mean_est_amb,n,total_umis
0610005C13Rik,1.1222157884610816e-7,0,40
0610006L08Rik,0,0,0
0610009B22Rik,2.2756608550361264e-5,0,7260
0610009E02Rik,7.507320160686759e-7,0,277
0610009L18Rik,6.471040898315344e-6,0,2083
0610010F05Rik,8.046249995265665e-6,0,2778
0610010K14Rik,6.42576723780315e-5,0,23045
0610012D04Rik,1.7925972711624947e-7,0,35
0610012G03Rik,8.976829729741963e-5,0,30813
0610025J13Rik,6.122970461840299e-8,0,11
0610030E20Rik,2.765046751950603e-5,0,11095
0610031O16Rik,6.122970461840299e-8,0,9
0610033M10Rik,6.122970461840299e-8,0,6
0610038B21Rik,2.764614574972883e-7,0,155
0610039K10Rik,2.0942330922714696e-7,0,102
0610040B10Rik,6.476114059691629e-6,0,2519
0610040F04Rik,1.7925972711624947e-7,0,36
0610040J01Rik,6.493847982375459e-7,0,415
0610043K17Rik,9.951579596671196e-7,0,232
0710001A04Rik,6.122970461840299e-8,0,4
1010001B22Rik,2.755634877022126e-7,0,166
1010001N08Rik,2.755634877022126e-7,0,58
1100001I12Rik,0,0,0
1110002E22Rik,1.1222157884610816e-7,0,1
1110002J07Rik,5.585868904128929e-7,0,158
1110002L01Rik,6.130567692152802e-6,0,1677
1110002O04Rik,6.122970461840299e-8,0,13
1110004F10Rik,8.32511183431962e-5,0,30708
1110006O24Rik,1.4536556508094181e-6,0,316
1110008E08Rik,3.085688487375806e-8,0,0
1110008P14Rik,7.242112628693129e-5,0,25974
1110012L19Rik,1.492196230435395e-5,0,5258
1110013H19Rik,2.755634877022126e-7,0,165
1110015O18Rik,0,0,0
1110017D15Rik,1.7673289379422336e-6,0,551
1110018N20Rik,1.282678528885443e-7,0,73
1110019B22Rik,6.122970461840299e-8,0,13
1110019D14Rik,3.251403584631985e-6,0,1189
1110020A21Rik,1.6387119037069368e-6,0,383
1110025L11Rik,0,0,0
1110028F11Rik,3.727652180832514e-7,0,163
1110028F18Rik,1.282678528885443e-7,0,10
1110032A03Rik,1.5421831527413315e-5,0,5951
1110032F04Rik,3.727652180832514e-7,0,153
1110035H17Rik,2.5810351248129258e-6,0,1030
1110038B12Rik,3.86076458704835e-5,0,12387
1110038F14Rik,6.668416573942305e-5,0,21719
1110046J04Rik,2.1374284655727487e-6,0,605
1110051M20Rik,6.289950927187986e-6,0,1756
1110057P08Rik,0,0,0
1110059E24Rik,3.179481044556866e-5,0,11023
1110059G10Rik,2.9275534894258088e-5,0,10434
1110065P20Rik,1.5625326139954897e-5,0,5738
1190001M18Rik,1.7925972711624947e-7,0,24
1190005I06Rik,1.4536556508094181e-6,0,1069
1190007I07Rik,2.1222433188172847e-5,0,6809
1190028D05Rik,0,0,0
1200007C13Rik,1.909407186265929e-6,0,831
1300002E11Rik,2.0739814493639464e-5,0,6809
1300014J16Rik,4.7411634878819465e-7,0,215
1300017J02Rik,1.1222157884610816e-7,0,78
1500002C15Rik,4.0348228095366256e-7,0,221
1500002F19Rik,6.122970461840299e-8,0,55
1500004A13Rik,5.814546058499197e-6,0,2248
1500009C09Rik,6.122970461840299e-8,0,3
1500009L16Rik,2.02411105823923e-6,0,859
1500011B03Rik,2.2146622682690323e-5,0,8076
1500012K07Rik,1.282678528885443e-7,0,10
1500015A07Rik,6.703803986755303e-6,0,2385
1500015L24Rik,0,0,0
1500026H17Rik,8.355317235304972e-7,0,258
1500032F14Rik,6.122970461840299e-8,0,3
1500035N22Rik,1.7925972711624947e-7,0,35
1520401A03Rik,8.13646939723501e-8,0,2
1600002D24Rik,2.2457161347450744e-7,0,25
1600002K03Rik,2.0609890630759876e-5,0,8134
1600010M07Rik,1.3689320833013611e-5,0,4142
1600012H06Rik,1.6514948454971667e-5,0,5293
