gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,padj,neglogp,sig
Rsrp1,3.280022720884844e-36,-0.520109335138339,0.898,0.958,1.058955335437672e-31,5.497974084747175e-32,31.259797311578367,TRUE
Rbm3,1.488734860218121e-30,-0.5002051986669813,0.882,0.949,4.806380496214204e-26,1.2477086863488073e-26,25.903886801415986,TRUE
Hspa1a,2.1086874105897855e-29,-0.7658696125703461,0.073,0.36,6.807897305089123e-25,1.1781939458768661e-25,24.928783213206735,TRUE
Hspa1b,3.3794444117786714e-27,-0.5147734506517864,0.085,0.366,1.0910536283427441e-22,1.4161561807558523e-23,22.84888884784676,TRUE
Rps3a1,2.1205675930149132e-23,-0.28625479582729607,1,1,6.846252474048648e-19,7.108990798823195e-20,19.14819204787936,TRUE
Dnaja1,9.489614926996586e-20,-0.5037488126973353,0.799,0.893,3.0637221791808476e-15,2.6510820901052793e-16,15.576576824236817,TRUE
Hspa8,1.0778640794562146e-18,-0.4707186816796174,0.992,0.994,3.479884180524389e-14,2.5810225285492957e-15,14.588208204684358,TRUE
Hexa,1.7279315080218094e-16,0.4187322109178435,0.963,0.911,5.578626873648412e-12,3.620448492182696e-13,12.441237626810665,TRUE
C3ar1,7.969477349264214e-15,0.4795440098654675,0.656,0.419,2.5729457622099516e-10,1.4842708814262972e-11,10.8284868324983,TRUE
Sod2,4.9075707634008324e-14,-0.5861205017977786,0.886,0.925,1.5844092209639588e-9,8.226070113612475e-11,10.084807593170481,TRUE
Ide,6.433006754863781e-14,0.2556639218990831,0.472,0.255,2.0768962308077717e-9,9.802732656820608e-11,10.008652841414973,TRUE
Prdx5,8.039192229073906e-14,-0.6497861570807553,0.974,0.972,2.5954532111565104e-9,1.1229411678644734e-10,9.949642996312999,TRUE
Ms4a7,1.0348422911659177e-13,0.5442538736838354,0.872,0.68,3.3409883370291652e-9,1.29305800831599e-10,9.888381991649814,TRUE
Srsf5,1.0799911774504153e-13,0.2754154117859664,0.89,0.775,3.486751516398666e-9,1.29305800831599e-10,9.888381991649814,TRUE
Itgb5,1.4691967378798654e-13,0.38268251991011826,0.756,0.567,4.743301668245145e-9,1.6417783813561536e-10,9.784685467344417,TRUE
Lgmn,3.550329682631985e-13,0.4878649698748294,0.902,0.773,1.1462239380377364e-8,3.7194141337673333e-10,9.42952546294336,TRUE
Ifi47,9.824837033075875e-13,-0.5196022927272579,0.829,0.883,3.171948636128546e-8,9.687289314612814e-10,9.01379772969813,TRUE
Ctsb,2.0657698501028425e-12,0.3902445199893023,0.992,0.978,6.669337961057027e-8,1.923690790412436e-9,8.71586473417431,TRUE
Ly6i,3.0579558699413657e-12,-0.6391638928152252,0.711,0.83,9.872610526105699e-8,2.69776085747143e-9,8.568996550914544,TRUE
Mcemp1,4.7219757868346575e-11,-0.44847506270683657,0.569,0.704,1.5244898827795692e-6,3.957487906946127e-8,7.402580403554574,TRUE
Cebpb,5.692394925295027e-11,-0.4469320840141626,0.933,0.945,1.8377897016314995e-6,4.543615416085487e-8,7.342598435602567,TRUE
Zbp1,1.9388168466213249e-10,-0.5098148720364908,0.833,0.891,6.259470189316947e-6,1.4772021810484838e-7,6.8305600597967,TRUE
Igtp,2.0747095345416888e-10,-0.4166379790854411,0.75,0.824,6.698199732267842e-6,1.5120122268690342e-7,6.820444696903408,TRUE
Tspo,9.912641792011716e-10,-0.283954594348069,0.972,0.982,3.200296402550983e-5,6.923154238237516e-7,6.159695992804383,TRUE
Ly6c2,1.2041476634694783e-9,-0.8688067829486312,0.419,0.571,3.887590731511211e-5,8.073569254030159e-7,6.092934425050558,TRUE
Psmb10,1.4669724096500936e-9,-0.30984774325186404,0.949,0.966,4.736120424555327e-5,9.457458280982643e-7,6.024225565803549,TRUE
